customer_id,first_name,last_name,date_of_birth,address,city,province,postal_code,email,phone,join_date
1,Danielle,Johnson,1963-12-07,21819 Johnson Course,East William,ON,Y7J 4Y8,lisa02@example.net,+1 (654) 235-1161,2024-02-21
2,Cassandra,Roman,1994-11-16,161 Calderon River Suite 931,Lake Jeremyport,ON,K5E 8R6,mitchellclark@example.com,492.832.7648,2023-12-22
3,Megan,Parsons,1960-10-21,6413 Lewis Parks,Wilkersonmouth,ON,L9G 9K5,zhurst@example.com,(228) 710-1226,2024-06-27
4,Patrick,Ferrell,1981-03-23,018 Mack Junctions Apt. 462,Smithview,ON,X9E 4M3,kathryn88@example.org,1 (270) 154-3039,2021-12-11
5,Jessica,Cabrera,1996-12-22,78248 Brandt Plains,Lake Larry,ON,T2X4T4,morganbrianna@example.org,(401) 031-0518,2023-08-02
6,Elizabeth,Lewis,1954-03-22,76311 Gomez Loop Suite 010,Chandlerville,ON,J8J 3Y7,joshuawright@example.org,781-080-1326 x773,2021-09-18
7,Franklin,Smith,1971-10-14,4687 James Forge Apt. 980,Brianshire,ON,X1X9H2,caseyjones@example.org,+1 (919) 399-0916,2023-11-27
8,Sarah,Harris,1993-12-15,46247 Hickman Cliffs Apt. 799,North Amandahaven,ON,G4P6C5,samueldaniels@example.com,(408) 412-4118 x244,2024-02-18
9,James,Walters,1963-03-08,0164 Adam Trail Apt. 427,Hoffmanville,ON,G6Y 9B3,tanderson@example.com,453-315-8692,2022-08-06
10,Theresa,Cochran,2005-03-13,25634 Kristin Coves Suite 073,Port Samantha,ON,M1K4K7,joshua14@example.com,(768) 501-4294 x019,2024-02-27
11,Jessica,Edwards,1986-06-21,9340 Smith Valley,West Ryan,ON,N9E5M7,richard48@example.org,(566) 299-4680,2023-08-28
12,Jason,Floyd,1986-07-02,7738 Leon Underpass Apt. 148,Clarencebury,ON,K1J1G4,xcarr@example.org,369-367-6320 x163,2025-08-15
13,Steven,Grant,2007-08-26,2788 Dodson Mills,Rivasside,ON,H5V4T5,rsims@example.com,443.455.8122,2024-06-22
14,Heather,Mccarthy,1949-08-03,5876 Jamie Manor Suite 909,Woodsstad,ON,R9S4Y8,joshuatucker@example.com,1 (162) 729-8069,2021-12-05
15,Dawn,Taylor,1976-08-20,46537 Rogers Light,Karenchester,ON,C9V1A6,debraharrington@example.net,203-309-2327,2026-01-05
16,Stacie,Marshall,1962-08-27,99124 Beth Inlet Suite 631,North Heidi,ON,E9B7P6,huntermatthew@example.com,816-572-6284 x987,2024-12-02
17,Margaret,Vargas,1967-02-24,47379 Rogers Park,Hunterborough,ON,L5N9L1,christophercortez@example.com,(637) 770-1436 x349,2025-03-29
18,Angela,Cooper,1995-12-24,7444 David Fields Suite 182,East Joanna,ON,X4M5E4,harry08@example.org,1-500-842-7109,2025-03-17
19,Timothy,Peterson,1948-09-17,1167 Barbara Spur Apt. 229,Christopherbury,ON,Y9S 7K8,levans@example.com,1-399-091-3341,2023-04-04
20,Glenn,Jones,1945-05-26,9740 Keith Haven Suite 134,South Danny,ON,G2L 1G3,brooke94@example.com,174.648.8771,2024-11-21
21,Jessica,Munoz,1946-12-23,99049 Kathryn Extensions,Stonemouth,ON,H2S8V6,qcook@example.org,656 746 8071,2023-05-13
22,Marcus,Cordova,1972-09-20,876 Jacob Lake,Garrettton,ON,L5Y 8G8,johnsoncrystal@example.org,248 086 1317,2022-07-11
23,Tyrone,Moran,1979-11-06,7737 Patrick Rapid Apt. 146,Sarahhaven,ON,A8M3M8,jreed@example.net,+1 (675) 339-6360,2025-03-28
24,Janet,Shepherd,1971-06-29,0289 Kane Well,Garciamouth,ON,G2S 8G5,cindy61@example.com,(265) 780-9134 x316,2022-01-26
25,Scott,Benson,2006-09-11,50455 Thomas Pines,Knightburgh,ON,H4C 8R3,stevenking@example.com,774-821-7594,2023-05-06
26,Stephen,Turner,1971-05-25,36959 Haney Hill Apt. 640,New Julieport,ON,P5K 3J2,parkerscott@example.net,1 (621) 456-2328,2025-09-24
27,Warren,Nelson,1956-05-31,4517 Donald Fork Suite 851,Smithside,ON,T7P 6L2,thomasharvey@example.net,1 (193) 174-6120,2023-10-21
28,Wendy,Wilson,1961-03-12,7586 Nicole Shoal,Port Tracychester,ON,B8P8J4,cory58@example.net,1 (106) 431-7139,2021-08-24
29,Kristin,Sanchez,1953-10-14,83933 Schroeder Turnpike,West Micheleberg,ON,Y2L 1H3,howardkristina@example.net,1 (802) 402-6811,2025-01-10
30,Kimberly,Palmer,1952-08-21,390 Ellis Burgs Apt. 766,South Jennifermouth,ON,C2N 3G5,oscar98@example.com,889-611-8367 x365,2024-08-09
31,Robert,Davis,1974-04-05,452 Jones Village Apt. 161,Lisaside,ON,Y2Y 7N6,uparrish@example.org,1-494-519-8327,2022-02-19
32,Michael,Hawkins,1953-01-13,368 Chelsea Shoals Suite 024,Sandrastad,ON,H2G 3R1,reesejason@example.com,152-545-9910 x229,2021-11-28
33,Joseph,Stanley,1978-04-08,4381 Jordan Haven Suite 840,South Tracey,ON,A4J 3M5,mark07@example.net,+1 (722) 683-8851,2021-07-29
34,Ryan,Stevens,1950-07-08,696 Roberts Lodge Apt. 529,Collierstad,ON,S7E 7K9,fosterkyle@example.com,(652) 181-8835,2022-06-21
35,Joel,Thomas,1958-08-23,212 Marshall Port,Maldonadoshire,ON,N2G8T8,laura90@example.com,(914) 770-0541 x199,2024-06-26
36,Steven,Spencer,1999-02-06,9359 Mason Circle,Garciamouth,ON,X4H 8B8,michaelhardin@example.com,+1 (559) 051-5186,2023-05-11
37,Jennifer,Douglas,2006-11-23,1925 Ponce Square,Andersonland,ON,Y3R9N2,bromero@example.com,1-523-573-3221,2022-01-28
38,William,Fernandez,1995-06-26,592 Moore Falls,Lake Samuel,ON,P5K8T4,kylestokes@example.com,(359) 774-6886,2022-11-30
39,Laurie,Taylor,1962-03-25,758 Jennifer Path,West Christopherburgh,ON,T7X2G4,bwilkerson@example.com,668-536-1530,2022-01-21
40,Mary,Santos,1999-01-26,04727 Gilbert Common,West Jasonberg,ON,E5M2K1,robertbauer@example.com,517.980.8932,2024-11-12
41,Aaron,Gomez,1984-01-19,18518 Peter Mountains Apt. 654,West Kristinastad,ON,E1N 6G9,lisa27@example.net,922-170-4303 x054,2024-08-08
42,Veronica,Daniels,1962-06-16,345 Michelle Isle,Davidstad,ON,R6T3R8,zrichardson@example.net,1-216-169-2845,2021-11-23
43,Mark,Phillips,1975-07-25,75705 Hill Turnpike Apt. 165,North Douglas,ON,B4G6C6,cherring@example.net,775 571 9285,2023-11-21
44,Debra,Wright,1952-12-08,278 Mcintyre Crest,Kimberlymouth,ON,M2V 3J2,tthompson@example.com,655.188.4422,2025-07-17
45,Jeffrey,Galloway,1999-02-12,70589 Mcdonald Plaza,New Nicole,ON,M9R 7V7,martinezlogan@example.org,978-528-9226 x801,2022-07-08
46,Kevin,Martin,1993-06-27,8414 Cynthia Plaza,Davidport,ON,X3H 6G1,millerstacy@example.net,1-839-690-7844,2023-04-19
47,Linda,Cohen,1965-06-16,02767 Harris Rest Apt. 555,Andersonstad,ON,N2K 5T8,donaldwilliams@example.com,+1 (832) 595-3278,2025-06-16
48,Natasha,Jimenez,1951-05-07,733 Williams Haven Suite 974,Port Danielberg,ON,P1R7P1,michaelroberts@example.com,(678) 499-1216 x558,2022-06-11
49,James,Hicks,1979-04-01,02578 Hernandez Passage,West Sarah,ON,H6R9M9,terickson@example.com,555-169-4097,2026-02-19
50,Becky,Griffith,1984-12-04,89623 Ashley Squares Apt. 307,Robertchester,ON,S1X 3V9,annbolton@example.com,(465) 278-5854 x973,2023-08-03
51,Angela,Walker,1965-06-21,375 Bailey Underpass Suite 419,Huangfurt,ON,G5M2B6,vdouglas@example.com,(438) 484-2199,2023-04-12
52,Brent,Stein,1960-07-29,16571 Adam Plaza,South Denise,ON,V6J5M1,pearsonjesse@example.net,126-206-7240,2023-10-03
53,Ashley,Rodriguez,1968-01-07,8872 Nelson Valleys Apt. 527,Jennifertown,ON,M7J7H9,christopher12@example.org,153-046-3745 x499,2023-06-10
54,Desiree,Schwartz,1949-06-12,4268 Vaughn Route,Michaelbury,ON,G8V 6G7,ztodd@example.net,(239) 187-8519,2021-09-27
55,Maria,Leach,1958-12-22,58713 Davis Pass,Stokesmouth,ON,X1S 9T8,jennifer64@example.org,(891) 065-1801,2021-06-26
56,Justin,White,1954-06-08,6766 Felicia Shore Apt. 512,Ricebury,ON,A9M 7T9,pmorrow@example.com,1 (424) 310-6903,2021-10-15
57,Craig,Johnson,1985-11-24,06738 Karen Trail,East Williamport,ON,N5N 3K9,roberthill@example.net,768 705 6856,2022-06-26
58,Kevin,White,1981-10-28,34270 Faulkner Point Apt. 634,West Deborah,ON,P4C1Y5,mnunez@example.org,439.837.3540,2022-10-31
59,Suzanne,Wilson,1996-07-19,93638 Rowe Light Suite 854,Michaelfort,ON,E4V6N6,owilliams@example.net,604 899 6423,2023-03-04
60,Noah,Whitaker,1979-03-13,7772 Jackson Stravenue Suite 280,Port Melanieton,ON,S2G 3K1,williambrooks@example.net,170-088-6008 x484,2025-06-27
61,Lisa,Craig,2000-01-29,18233 Ochoa Grove,Millerfurt,ON,K2K1M2,jgray@example.com,102-176-5918,2023-03-03
